Timestamp	Board	ChangeType	Name
2020-08-02T19:38:05.712+00:00	mainboard	add	Sakura-Tribe Elder
2020-08-02T19:38:05.712+00:00	mainboard	add	Wandering Fumarole
2020-08-02T19:38:05.712+00:00	mainboard	add	Blooming Marsh
2020-08-02T19:38:05.712+00:00	mainboard	add	Shattered Sanctum
2020-08-02T19:38:05.712+00:00	mainboard	add	Expansion // Explosion
2020-08-02T19:38:05.712+00:00	mainboard	add	Fire // Ice
2020-08-02T19:38:05.712+00:00	mainboard	add	Emeria, the Sky Ruin
2020-08-02T19:38:06.712+00:00	mainboard	add	Elite Vanguard
2020-08-02T19:38:06.712+00:00	mainboard	add	Isamaru, Hound of Konda
2020-08-02T19:38:06.712+00:00	mainboard	add	Student of Warfare
2020-08-02T19:38:06.712+00:00	mainboard	add	Hanweir Militia Captain
2020-08-02T19:38:06.712+00:00	mainboard	add	Knight of Meadowgrain
2020-08-02T19:38:06.712+00:00	mainboard	add	Kor Spiritdancer
2020-08-02T19:38:06.712+00:00	mainboard	add	Selfless Spirit
2020-08-02T19:38:06.712+00:00	mainboard	add	Stoneforge Mystic
2020-08-02T19:38:06.712+00:00	mainboard	add	Suture Spirit
2020-08-02T19:38:06.712+00:00	mainboard	add	Wall of Omens
2020-08-02T19:38:06.712+00:00	mainboard	add	War Priest of Thune
2020-08-02T19:38:06.712+00:00	mainboard	add	Auramancer
2020-08-02T19:38:06.712+00:00	mainboard	add	Ballynock Cohort
2020-08-02T19:38:06.712+00:00	mainboard	add	Bygone Bishop
2020-08-02T19:38:06.712+00:00	mainboard	add	Danitha Capashen, Paragon
2020-08-02T19:38:06.712+00:00	mainboard	add	Mesa Enchantress
2020-08-02T19:38:06.712+00:00	mainboard	add	Mirror Entity
2020-08-02T19:38:06.712+00:00	mainboard	add	Soulsworn Jury
2020-08-02T19:38:06.712+00:00	mainboard	add	Thalia, Heretic Cathar
2020-08-02T19:38:06.712+00:00	mainboard	add	Ajani's Chosen
2020-08-02T19:38:06.712+00:00	mainboard	add	Emeria Angel
2020-08-02T19:38:06.712+00:00	mainboard	add	Sublime Archangel
2020-08-02T19:38:06.712+00:00	mainboard	add	Valor
2020-08-02T19:38:06.712+00:00	mainboard	add	Archangel Avacyn
2020-08-02T19:38:06.712+00:00	mainboard	add	Battlegrace Angel
2020-08-02T19:38:06.712+00:00	mainboard	add	Reveillark
2020-08-02T19:38:06.712+00:00	mainboard	add	Sun Titan
2020-08-02T19:38:06.712+00:00	mainboard	add	Sunblast Angel
2020-08-02T19:38:06.712+00:00	mainboard	add	Victory's Herald
2020-08-02T19:38:06.712+00:00	mainboard	add	Gideon, Ally of Zendikar
2020-08-02T19:38:06.712+00:00	mainboard	add	Elspeth, Sun's Champion
2020-08-02T19:38:06.712+00:00	mainboard	add	Porcelain Legionnaire
2020-08-02T19:38:06.712+00:00	mainboard	add	Path to Exile
2020-08-02T19:38:06.712+00:00	mainboard	add	Swords to Plowshares
2020-08-02T19:38:06.712+00:00	mainboard	add	Crib Swap
2020-08-02T19:38:06.712+00:00	mainboard	add	White Sun's Zenith
2020-08-02T19:38:06.712+00:00	mainboard	add	Declaration in Stone
2020-08-02T19:38:06.712+00:00	mainboard	add	Spectral Procession
2020-08-02T19:38:06.712+00:00	mainboard	add	Day of Judgment
2020-08-02T19:38:06.712+00:00	mainboard	add	Hallowed Burial
2020-08-02T19:38:06.712+00:00	mainboard	add	Ethereal Armor
2020-08-02T19:38:06.712+00:00	mainboard	add	Honor of the Pure
2020-08-02T19:38:06.712+00:00	mainboard	add	Murder Investigation
2020-08-02T19:38:06.712+00:00	mainboard	add	Always Watching
2020-08-02T19:38:06.712+00:00	mainboard	add	Arrest
2020-08-02T19:38:06.712+00:00	mainboard	add	Ghostly Prison
2020-08-02T19:38:06.712+00:00	mainboard	add	Oblivion Ring
2020-08-02T19:38:06.712+00:00	mainboard	add	Prison Term
2020-08-02T19:38:06.712+00:00	mainboard	add	Rule of Law
2020-08-02T19:38:06.712+00:00	mainboard	add	Stasis Snare
2020-08-02T19:38:06.712+00:00	mainboard	add	Story Circle
2020-08-02T19:38:06.712+00:00	mainboard	add	Armored Ascension
2020-08-02T19:38:06.712+00:00	mainboard	add	Endless Horizons
2020-08-02T19:38:06.712+00:00	mainboard	add	Marshal's Anthem
2020-08-02T19:38:06.712+00:00	mainboard	add	Suppression Bonds
2020-08-02T19:38:06.712+00:00	mainboard	add	Sigil of the Empty Throne
2020-08-02T19:38:06.712+00:00	mainboard	add	Starfield of Nyx
2020-08-02T19:38:06.712+00:00	mainboard	add	Quarantine Field
2020-08-02T19:38:06.712+00:00	mainboard	add	Eidolon of Obstruction
2020-08-02T19:38:06.712+00:00	mainboard	add	Archetype of Courage
2020-08-02T19:38:06.712+00:00	mainboard	add	Cursecatcher
2020-08-02T19:38:06.712+00:00	mainboard	add	Delver of Secrets
2020-08-02T19:38:06.712+00:00	mainboard	add	Augury Owl
2020-08-02T19:38:06.712+00:00	mainboard	add	Lighthouse Chronologist
2020-08-02T19:38:06.712+00:00	mainboard	add	Snapcaster Mage
2020-08-02T19:38:06.712+00:00	mainboard	add	Thing in the Ice
2020-08-02T19:38:06.712+00:00	mainboard	add	Tidebinder Mage
2020-08-02T19:38:06.712+00:00	mainboard	add	Grand Architect
2020-08-02T19:38:06.712+00:00	mainboard	add	Sai, Master Thopterist
2020-08-02T19:38:06.712+00:00	mainboard	add	Sea Gate Oracle
2020-08-02T19:38:06.712+00:00	mainboard	add	Treasure Mage
2020-08-02T19:38:06.712+00:00	mainboard	add	Wake Thrasher
2020-08-02T19:38:06.712+00:00	mainboard	add	Wall of Frost
2020-08-02T19:38:06.712+00:00	mainboard	add	Clone
2020-08-02T19:38:06.712+00:00	mainboard	add	Faerie Swarm
2020-08-02T19:38:06.712+00:00	mainboard	add	Forgotten Creation
2020-08-02T19:38:06.712+00:00	mainboard	add	Glen Elendra Archmage
2020-08-02T19:38:06.712+00:00	mainboard	add	Geralf's Masterpiece
2020-08-02T19:38:06.712+00:00	mainboard	add	Mulldrifter
2020-08-02T19:38:06.712+00:00	mainboard	add	Frost Titan
2020-08-02T19:38:06.712+00:00	mainboard	add	Jace Beleren
2020-08-02T19:38:06.712+00:00	mainboard	add	Etherium Sculptor
2020-08-02T19:38:06.712+00:00	mainboard	add	Master of Etherium
